DEVISE,COURS,LIBELLE,T
55593810,0.008119,PAKISTANI RUPEE,43381
54613316,0.705700,AUSSIE DOLLAR,43381
55135826,0.013505,INDIAN RUPEE,43381
55593040,0.018460,PHILIPPINE PESO,43381
55855170,0.030317,THAI BAHT,43381
54741062,1.007963,SWISS FRANC,43381
55788875,0.109796,SWEDISH KRONA,43381
54807371,0.153920,DANISH KRONE,43381
55201881,0.008824,JAPANESE YEN,43381
55001680,1.306200,BRITISH POUND,43381
55069508,0.127725,HONG KONG,43381
54875474,1.148100,EURO,43381
55463755,0.120637,NORWEGIAN KRONE,43381
56246610,0.067259,SOUTH AFRICAN RAND,43381
54739268,0.769172,CANADIAN DOLLAR,43381
54742617,0.144467,CHINESE YUAN,43381
55267927,0.000880,KOREAN WON,43381
55466564,0.644800,NEW ZEALAND DOLLAR,43381
55727426,0.014925,RUSSIAN RUBLE,43381
55857753,0.162631,TURKISH LIRA,43381
55987780,0.000043,VIETNAM DONG,43381
55133266,0.000066,INDONESIAN RUPIAH,43381
55400786,0.240674,MALAYSIAN RINGGIT,43381
55789380,0.722074,SINGAPORE DOLLAR,43381
55859012,0.032301,TAIWAN DOLLAR,43381
55400526,0.053063,MEXICAN PESO,43381
54609220,0.272242,EMIRATES DIRHAM,43381
54678092,0.260573,BRASIL REAL,43381
54871888,17.910000,EGYPTIAN POUND,43381
55594062,0.266340,POLISH ZLOTY,43381
56246642,0.067259,SOUTH AFRICAN rand,43381
55072070,0.003531,HUNGARIAN FORINT,43381
54742096,0.001479,CHILEAN PESO,43381
55787858,0.266645,SAUDI RIYAL,43381
54742600,0.144350,OFFSHORE CHINESE YUAN,43381
54745675,0.044583,CZECH KORUNA,43381
55135315,0.275839,ISRAEL SHEKEL,43381
55725902,0.245990,ROMANIAN LEU,43381
